line,status,skipped,licensed,access_franchise,access_property,access_product_line,release_year,wave,item_name,normalized_franchise,normalized_property,normalized_product_line,normalized_item
22,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Bat Cave,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Bat Cave
23,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batcopter,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Batcopter
24,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batcycle,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Batcycle
25,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batgirl,Mego Dolls,DC Comics,WGSH - DC,Batgirl
26,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batman (Non-Removable Cowl),Mego Dolls,DC Comics,WGSH - DC,Batman (Non-Removable Cowl)
27,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batman (Removable Cowl),Mego Dolls,DC Comics,WGSH - DC,Batman (Removable Cowl)
28,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Batmobile,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Batmobile
29,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Bruce Wayne,Mego Dolls,DC Comics,WGSH - DC,Bruce Wayne
30,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Captain America,Mego Dolls,Marvel Comics,WGSH - Marvel,Captain America
31,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Carrying Case,Mego Dolls,World's Greatest Super Heroes,"WGSH - Vehicles, Playsets, Accessories",Carrying Case
32,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Catwoman,Mego Dolls,DC Comics,WGSH - DC,Catwoman
33,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Clark Kent,Mego Dolls,DC Comics,WGSH - DC,Clark Kent
34,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Command Console,Mego Dolls,World's Greatest Super Heroes,"WGSH - Vehicles, Playsets, Accessories",Command Console
35,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Conan,Mego Dolls,Conan the Barbarian,WGSH - Other Properties,Conan
36,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Dick Grayson,Mego Dolls,DC Comics,WGSH - DC,Dick Grayson
37,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Exploding Bridge,Mego Dolls,World's Greatest Super Heroes,"WGSH - Vehicles, Playsets, Accessories",Exploding Bridge
38,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Falcon,Mego Dolls,Marvel Comics,WGSH - Marvel,Falcon
39,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Green Arrow,Mego Dolls,DC Comics,WGSH - DC,Green Arrow
40,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Green Arrowcar,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Green Arrowcar
41,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Green Goblin,Mego Dolls,Marvel Comics,WGSH - Marvel,Green Goblin
42,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Hall of Justice,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Hall of Justice
43,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Hulk,Mego Dolls,Marvel Comics,WGSH - Marvel,Hulk
44,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Human Torch,Mego Dolls,Marvel Comics,WGSH - Marvel,Human Torch
45,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Invisible Girl,Mego Dolls,Marvel Comics,WGSH - Marvel,Invisible Girl
46,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Iron Man,Mego Dolls,Marvel Comics,WGSH - Marvel,Iron Man
47,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Isis,Mego Dolls,DC Comics,WGSH - DC,Isis
48,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Joker,Mego Dolls,DC Comics,WGSH - DC,Joker
49,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Jokermobile,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Jokermobile
50,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Kid Flash,Mego Dolls,DC Comics,WGSH - DC,Kid Flash
51,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Lizard,Mego Dolls,Marvel Comics,WGSH - Marvel,Lizard
52,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Mobile Batlab,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Mobile Batlab
53,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Mr. Fantastic,Mego Dolls,Marvel Comics,WGSH - Marvel,Mr. Fantastic
54,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Mr. Mxyzptlk,Mego Dolls,DC Comics,WGSH - DC,Mr. Mxyzptlk
55,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Penguin,Mego Dolls,DC Comics,WGSH - DC,Penguin
56,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Peter Parker,Mego Dolls,Marvel Comics,WGSH - Marvel,Peter Parker
57,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Riddler,Mego Dolls,DC Comics,WGSH - DC,Riddler
58,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Robin (Non-Removable Mask),Mego Dolls,DC Comics,WGSH - DC,Robin (Non-Removable Mask)
59,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Robin (Removable Mask),Mego Dolls,DC Comics,WGSH - DC,Robin (Removable Mask)
60,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Sears Exclusive: Incredible Hulk Hide-A-Way Playcase,Mego Dolls,Marvel Comics,"WGSH - Vehicles, Playsets, Accessories",Sears Exclusive: Incredible Hulk Hide-A-Way Playcase
61,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Shazam,Mego Dolls,DC Comics,WGSH - DC,Shazam
62,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Speedy,Mego Dolls,DC Comics,WGSH - DC,Speedy
63,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Spider Car,Mego Dolls,Marvel Comics,"WGSH - Vehicles, Playsets, Accessories",Spider Car
64,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Spiderman,Mego Dolls,Marvel Comics,WGSH - Marvel,Spiderman
65,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Supergirl,Mego Dolls,DC Comics,WGSH - DC,Supergirl
66,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Superman,Mego Dolls,DC Comics,WGSH - DC,Superman
67,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Supervator,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Supervator
68,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Tarzan,Mego Dolls,Tarzan,WGSH - Other Properties,Tarzan
69,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,The Thing,Mego Dolls,Marvel Comics,WGSH - Marvel,The Thing
70,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Thor,Mego Dolls,Marvel Comics,WGSH - Marvel,Thor
71,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Wayne Foundation,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Wayne Foundation
72,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Wondergirl,Mego Dolls,DC Comics,WGSH - DC,Wondergirl
73,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Wonderwoman,Mego Dolls,DC Comics,WGSH - DC,Wonderwoman
74,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,Captain Kirk,Mego,Star Trek,Star Trek,Captain Kirk
75,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,Doctor McCoy,Mego,Star Trek,Star Trek,Doctor McCoy
76,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,Klingon,Mego,Star Trek,Star Trek,Klingon
77,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,Mr. Scott,Mego,Star Trek,Star Trek,Mr. Scott
78,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,Mr. Spock,Mego,Star Trek,Star Trek,Mr. Spock
79,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1974,Wave 1,USS Enterprise Action Playset,Mego,Star Trek,Star Trek,USS Enterprise Action Playset
80,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1975,Wave 2,Cheron,Mego,Star Trek,Star Trek,Cheron
81,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1975,Wave 2,Gorn,Mego,Star Trek,Star Trek,Gorn
82,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1975,Wave 2,Keeper,Mego,Star Trek,Star Trek,Keeper
83,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1975,Wave 2,Lt. Uhura,Mego,Star Trek,Star Trek,Lt. Uhura
84,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1975,Wave 2,Neptunian,Mego,Star Trek,Star Trek,Neptunian
85,skipped_replaced_or_intentional,True,False,Pulsar,Pulsar,Pulsar,1976,Pulsar,Hypnos,Pulsar,Pulsar,Pulsar,Hypnos
86,skipped_replaced_or_intentional,True,False,Pulsar,Pulsar,Pulsar,1976,Pulsar,Life Systems Center,Pulsar,Pulsar,Pulsar,Life Systems Center
87,skipped_replaced_or_intentional,True,False,Pulsar,Pulsar,Pulsar,1976,Pulsar,Pulsar,Pulsar,Pulsar,Pulsar,Pulsar
88,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Andorian,Mego,Star Trek,Star Trek,Andorian
89,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Mission to Gamma 6 Playset,Mego,Star Trek,Star Trek,Mission to Gamma 6 Playset
90,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Mugatu,Mego,Star Trek,Star Trek,Mugatu
91,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Romulan,Mego,Star Trek,Star Trek,Romulan
92,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Talos,Mego,Star Trek,Star Trek,Talos
93,skipped_replaced_or_intentional,True,False,Star Trek,Star Trek,Star Trek,1976,Wave 3,Transporter Room,Mego,Star Trek,Star Trek,Transporter Room
94,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Apple Dumplin with TeaTime Turtle,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Apple Dumplin with TeaTime Turtle
97,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Berry Merry Worm,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Berry Merry Worm
100,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Blueberry Muffin,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Blueberry Muffin
105,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Huckleberry Pie,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Huckleberry Pie
106,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Maple Stirrup and Oatsmobile,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Maple Stirrup and Oatsmobile
107,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Purple Pieman with Berry Bird,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Purple Pieman with Berry Bird
109,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1979,Wave 1,Strawberry Shortcake,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Strawberry Shortcake
110,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Apple Dumplin with TeaTime Turtle,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Apple Dumplin with TeaTime Turtle
111,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Apricot with Hopsalot Bunny,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Apricot with Hopsalot Bunny
112,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Blueberry Muffin,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Blueberry Muffin
113,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Huckleberry Pie,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Huckleberry Pie
114,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Lemon Meringue,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Lemon Meringue
115,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Orange Blossom,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Orange Blossom
116,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Purple Pieman with Berry Bird,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Purple Pieman with Berry Bird
117,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Raspberry Tart,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Raspberry Tart
118,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1980,Wave 2,Strawberry Shortcake,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Strawberry Shortcake
119,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Flynn,Tron,Tron,Tron,Flynn
120,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Light Cycle Red,Tron,Tron,Tron,Light Cycle Red
121,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Light Cycle Yellow,Tron,Tron,Tron,Light Cycle Yellow
122,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Sark,Tron,Tron,Tron,Sark
123,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Tron,Tron,Tron,Tron,Tron
124,skipped_replaced_or_intentional,True,False,Tron,Tron,Tron,1981,Tron,Warrior,Tron,Tron,Tron,Warrior
125,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Angel Cake with Souffle Skunk,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Angel Cake with Souffle Skunk
126,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Apple Dumplin with TeaTime Turtle,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Apple Dumplin with TeaTime Turtle
127,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Apricot with Hopsalot Bunny,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Apricot with Hopsalot Bunny
128,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Blueberry Muffic with Cheesecake Mouse,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Blueberry Muffic with Cheesecake Mouse
129,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Butter Cookie with Jelly Bear,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Butter Cookie with Jelly Bear
130,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Cherry Cuddler with Gooseberry,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Cherry Cuddler with Gooseberry
131,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Huckleberry Pie with Pupcake Dog,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Huckleberry Pie with Pupcake Dog
132,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Lemon Meringue with Frappe Frog,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Lemon Meringue with Frappe Frog
134,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Orange Blossom with Marmalade Butterfly,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Orange Blossom with Marmalade Butterfly
135,skipped_replaced_or_intentional,True,False,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,1981,Wave 3,Purple Pieman with Berry Bird,Strawberry Shortcake,Strawberry Shortcake,Vintage Strawberry Shortcake,Purple Pieman with Berry Bird
